id,name,state,main_festival,cuisine,best_time_to_visit,nearby_attractions,category,entry_fee,safety_index,weather_impact,popularity_score,google_reviews_sentiment,nearest_airport,nearest_train_station
45,Mangi-Tungi,Maharashtra,Mahavir Jayanti,Jain Cuisine,Oct-Mar,"Mangi Tungi Temple, Saptashrungi, Trimbakeshwar Temple, Ankai Fort","Spiritual, Trekking",130.0,8.2,6.0,8.35,0.0,Nashik Airport,Manmad Station
46,Wai,Maharashtra,Ganesh Chaturthi,Maharashtrian Thali,Oct-Mar,"Dholya Ganpati Temple, Menavali Ghat, Nana Phadnavis Wada, Pandavgad Fort","Cultural, Historical",110.0,8.2,6.0,8.5,0.0,Pune Airport,Satara Station
47,Bhimashankar,Maharashtra,Mahashivratri,Maharashtrian Thali,Oct-Mar,"Bhimashankar Temple, Hanuman Lake, Gupt Bhimashankar, Bhimashankar Wildlife Sanctuary","Spiritual, Wildlife",130.0,8.2,6.0,8.35,0.0,Pune Airport,Karjat Station
48,Tamhini Ghat,Maharashtra,Monsoon Festival,"Misal Pav, Bhakri",Jun-Sep,"Tamhini Waterfalls, Mulshi Lake, Devkund Waterfalls, Plus Valley Trek","Nature, Adventure",130.0,8.2,6.0,8.3,0.0,Pune Airport,Lonavala Station
49,Paithan,Maharashtra,Paithan Festival,"Pithla Bhakri, Modak",Oct-Mar,"Paithan Dam, Nath Sagar Lake, Sant Eknath Maharaj Samadhi, Jayakwadi Bird Sanctuary","Cultural, Historical",110.0,8.2,6.0,8.5,0.0,Aurangabad Airport,Aurangabad Station
50,Bhopal,Madhya Pradesh,Iftar Festival,"Poha Jalebi, Biryani",Oct-Mar,"Taj-ul-Masjid, Upper Lake, Bhimbetka Caves, Sanchi Stupa","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Raja Bhoj Airport,Bhopal Junction
51,Indore,Madhya Pradesh,Ahilya Utsav,"Poha, Jalebi, Namkeen",Oct-Mar,"Rajwada Palace, Lal Bagh Palace, Sarafa Bazaar, Kanch Mandir","Cultural, Food",130.0,8.2,6.0,8.35,0.0,Devi Ahilya Bai Holkar Airport,Indore Junction
52,Ujjain,Madhya Pradesh,Kumbh Mela,"Sabudana Khichdi, Malpua",Oct-Mar,"Mahakaleshwar Temple, Kaal Bhairav Temple, Ram Ghat, Harsiddhi Temple","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Indore Airport,Ujjain Junction
53,Gwalior,Madhya Pradesh,Tansen Samaroh,"Kachori, Bedai",Oct-Mar,"Gwalior Fort, Jai Vilas Palace, Teli Ka Mandir, Sun Temple","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Gwalior Airport,Gwalior Junction
54,Jabalpur,Madhya Pradesh,Narmada Jayanti,"Dal Paniya, Khoya Jalebi",Oct-Mar,"Bhedaghat, Marble Rocks, Dhuandhar Falls, Madan Mahal Fort","Nature, Historical",130.0,8.2,6.0,8.35,0.0,Jabalpur Airport,Jabalpur Junction
55,Khajuraho,Madhya Pradesh,Khajuraho Dance Festival,"Daal Bafla, Chironji ki Barfi",Oct-Mar,"Khajuraho Temples, Panna National Park, Raneh Falls, Jain Temples","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Khajuraho Airport,Khajuraho Station
56,Sanchi,Madhya Pradesh,Buddha Jayanti,"Kachori, Samosa",Oct-Mar,"Sanchi Stupa, Ashoka Pillar, Udayagiri Caves, Buddhist Monasteries","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Bhopal Airport,Sanchi Station
57,Pachmarhi,Madhya Pradesh,Nag Panchami,"Bhutte ki Kees, Jalebi",Oct-Mar,"Bee Falls, Jata Shankar Caves, Dhupgarh, Pandava Caves","Hill Station, Nature",187.5,8.2,6.0,8.9,0.0,Bhopal Airport,Pipariya Station
58,Omkareshwar,Madhya Pradesh,Mahashivratri,"Mawa Bati, Poha",Oct-Mar,"Omkareshwar Temple, Mamleshwar Temple, Ahilya Ghat, Satmatrika Temples",Spiritual,0.0,8.2,6.0,9.0,0.0,Indore Airport,Omkareshwar Station
59,Maheshwar,Madhya Pradesh,Maheshwari Utsav,"Maheshwari Thali, Puran Poli",Oct-Mar,"Ahilya Fort, Rajwada, Narmada Ghat, Rehwa Society","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Indore Airport,Barwaha Station
60,Mandu,Madhya Pradesh,Mandu Festival,"Baingan Bharta, Malpua",Oct-Mar,"Jahaz Mahal, Hindola Mahal, Rani Roopmati Pavilion, Baz Bahadur Palace","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Indore Airport,Ratlam Station
61,Chanderi,Madhya Pradesh,Chanderi Mahotsav,"Kachori, Aloo Chaat",Oct-Mar,"Chanderi Fort, Badal Mahal, Koshak Mahal, Jain Temples","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Bhopal Airport,Lalitpur Station
62,Burhanpur,Madhya Pradesh,Dargah Urs,"Jalebi Poha, Biryani",Oct-Mar,"Shahi Qila, Jama Masjid, Asirgarh Fort, Tapti River Ghat","Historical, Spiritual",130.0,8.2,6.0,8.35,0.0,Indore Airport,Burhanpur Station
63,Satna,Madhya Pradesh,Ram Navami,"Litti Chokha, Daal Bafla",Oct-Mar,"Maihar Devi Temple, Bharhut Stupa, Tulsi Museum, Madhavgarh Fort","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Jabalpur Airport,Satna Station
64,Rewa,Madhya Pradesh,Shivratri Mela,"Peda, Samosa",Oct-Mar,"Rewa Fort, Govindgarh Palace, White Tiger Safari, Keoti Falls","Historical, Wildlife",130.0,8.2,6.0,8.35,0.0,Jabalpur Airport,Rewa Station
65,Shivpuri,Madhya Pradesh,Shivpuri Mela,"Bedai, Poha",Oct-Mar,"Madhav National Park, Chhatri, Sakhya Sagar Lake, Bhadaiya Kund","Wildlife, Historical",130.0,8.2,6.0,8.35,0.0,Gwalior Airport,Shivpuri Station
66,Kanha,Madhya Pradesh,Wildlife Festival,"Daal Bafla, Petha",Oct-May,"Kanha National Park, Bamni Dadar, Kanha Museum, Shravan Tal","Wildlife, Nature",325.0,8.2,6.0,9.0,0.0,Jabalpur Airport,Mandla Station
67,Bandhavgarh,Madhya Pradesh,Tiger Festival,Maharashtrian Thali,Oct-May,"Bandhavgarh National Park, Shesh Shaiya, Bandhavgarh Fort, Tala Village","Wildlife, Nature",325.0,8.2,6.0,9.0,0.0,Jabalpur Airport,Umaria Station
68,Panna,Madhya Pradesh,Panna Utsav,"Daal Bafla, Gajak",Oct-Mar,"Panna National Park, Pandav Falls, Raneh Falls, Mahamati Temple","Wildlife, Nature",325.0,8.2,6.0,9.0,0.0,Khajuraho Airport,Panna Station
69,Hoshangabad,Madhya Pradesh,Narmada Jayanti,"Poha, Bhutte Kees",Oct-Mar,"Sethani Ghat, Satpura National Park, Pachmarhi, Tawa Dam","Spiritual, Nature",130.0,8.2,6.0,8.35,0.0,Bhopal Airport,Hoshangabad Station
70,Seoni,Madhya Pradesh,Gond Festival,"Bafla, Mahua Drink",Oct-Mar,"Pench National Park, Totladoh Dam, Bhimgarh Fort, Mahakali Temple","Wildlife, Tribal",130.0,8.2,6.0,8.35,0.0,Nagpur Airport,Seoni Station
71,Dewas,Madhya Pradesh,Navratri,"Dal Paniya, Sev",Oct-Mar,"Chamunda Mata Temple, Meetha Talab, Kavadia Hills, Kshipra River","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Indore Airport,Dewas Station
72,Vidisha,Madhya Pradesh,Buddha Purnima,"Kachori, Jalebi",Oct-Mar,"Bija Mandal, Udayagiri Caves, Heliodorus Pillar, Gyaraspur","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Bhopal Airport,Vidisha Station
73,Morena,Madhya Pradesh,Kaila Devi Mela,"Kachori, Rabri",Oct-Mar,"Chambal Sanctuary, Kakanmath Temple, Sihoniya, Bateshwar Temples","Historical, Wildlife",130.0,8.2,6.0,8.35,0.0,Gwalior Airport,Morena Station
74,Bhind,Madhya Pradesh,Janmashtami,"Petha, Samosa",Oct-Mar,"Ater Fort, Gohad Fort, Mata Renuka Temple, Vankhandeshwar Temple","Historical, Spiritual",130.0,8.2,6.0,8.35,0.0,Gwalior Airport,Bhind Station
75,Datia,Madhya Pradesh,Navratri,"Poha, Bedai",Oct-Mar,"Peetambara Peeth, Sonagiri Temples, Datia Palace, Badoni","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Gwalior Airport,Datia Station
76,Tikamgarh,Madhya Pradesh,Nagaji Fair,"Dal Bafla, Rabdi",Oct-Mar,"Tikamgarh Fort, Laxmi Narayan Temple, Garhkundar Fort, Orchha","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Khajuraho Airport,Tikamgarh Station
77,Rajgarh,Madhya Pradesh,Ganesha Chaturthi,"Dal Bafla, Bhutte ki Kees",Oct-Mar,"Jalpamata Mandir, Narsinghgarh Fort, Khokhari Mahadev","Spiritual, Nature",130.0,8.2,6.0,8.35,0.0,Bhopal Airport,Rajgarh Station
78,Neemuch,Madhya Pradesh,Gangaur Festival,"Dal Baati, Ghewar",Oct-Mar,"Gandhi Sagar Dam, Sukhanand Mahadev Temple, Bhadwa Mata Temple","Historical, Spiritual",130.0,8.2,6.0,8.35,0.0,Udaipur Airport,Neemuch Station
79,Mandsaur,Madhya Pradesh,Mahashivratri,"Dal Bafla, Chakki ki Shaak",Oct-Mar,"Pashupatinath Temple, Mandsaur Fort, Gandhi Sagar Wildlife Sanctuary","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Indore Airport,Mandsaur Station
80,Shajapur,Madhya Pradesh,Navratri,"Jalebi, Poha",Oct-Mar,"Karedi Mata Temple, Shani Mandir, Agar Malwa","Spiritual, Cultural",0.0,8.2,6.0,8.7,0.0,Indore Airport,Shajapur Station
81,Agar Malwa,Madhya Pradesh,Agar Malwa Fair,"Dal Bafla, Sev",Oct-Mar,"Baijnath Mahadev Temple, Chandrawati Fort, Nalkheda Temple","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Indore Airport,Agar Malwa Station
82,Ashoknagar,Madhya Pradesh,Dussehra,"Bhutte ki Kees, Pakodas",Oct-Mar,"Chanderi, Kadwaya Temples, Jain Temples, Kila Kothi","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Bhopal Airport,Ashoknagar Station
83,Damoh,Madhya Pradesh,Narmada Jayanti,"Daal Bafla, Poha",Oct-Mar,"Nohleshwar Temple, Raneh Falls, Jatashankar Temple","Spiritual, Nature",130.0,8.2,6.0,8.35,0.0,Jabalpur Airport,Damoh Station
84,Dindori,Madhya Pradesh,Bhagoria Festival,"Mahua Drink, Dal Paniya",Oct-Mar,"Kanha National Park, Karopani Fossil Park, Badi Khermai Temple","Tribal, Wildlife",130.0,8.2,6.0,8.35,0.0,Jabalpur Airport,Dindori Station
85,Anuppur,Madhya Pradesh,Makar Sankranti,"Pitha, Poha",Oct-Mar,"Amarkantak, Narmada Udgam, Kapildhara Waterfall","Spiritual, Nature",130.0,8.2,6.0,8.35,0.0,Jabalpur Airport,Anuppur Station
86,Singrauli,Madhya Pradesh,Chhath Puja,"Thekua, Dal Pitha",Oct-Mar,"Rihand Dam, Rose Garden, Tippan Tunnel","Nature, Industrial",130.0,8.2,6.0,8.35,0.0,Varanasi Airport,Singrauli Station
87,Sidhi,Madhya Pradesh,Basant Panchami,"Dal Bafla, Kachori",Oct-Mar,"Sanjay National Park, Guru Ghasidas National Park","Wildlife, Nature",325.0,8.2,6.0,9.0,0.0,Jabalpur Airport,Sidhi Station
88,Sheopur,Madhya Pradesh,Gond Festival,"Mahua Drink, Dal Paniya",Oct-Mar,"Kuno National Park, Sheopur Fort, Vijaya Mandir","Wildlife, Historical",130.0,8.2,6.0,8.35,0.0,Gwalior Airport,Sheopur Station
89,Chhatarpur,Madhya Pradesh,Diwali,"Daal Bafla, Rabdi",Oct-Mar,"Khajuraho Temples, Bambar Baini Temple, Hanuman Tauria","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Khajuraho Airport,Chhatarpur Station
90,Barwani,Madhya Pradesh,Bhagoria Festival,"Dal Bafla, Mahua Drink",Oct-Mar,"Bawangaja, Rajghat, Dholawad Dam","Spiritual, Tribal",130.0,8.2,6.0,8.35,0.0,Indore Airport,Barwani Station
91,Khandwa,Madhya Pradesh,Navratri,"Dal Bafla, Jalebi",Oct-Mar,"Omkareshwar Temple, Hanuwantiya Island, Ghantaghar","Spiritual, Nature",130.0,8.2,6.0,8.35,0.0,Indore Airport,Khandwa Station
92,Betul,Madhya Pradesh,Ganesha Chaturthi,"Bafla, Poha",Oct-Mar,"Balajipuram Temple, Satpura Range, Muktagiri","Spiritual, Nature",130.0,8.2,6.0,8.35,0.0,Nagpur Airport,Betul Station
93,Harda,Madhya Pradesh,Makar Sankranti,"Puran Poli, Poha",Oct-Mar,"Handiya, Nemawar, Narmada Ghat","Spiritual, Nature",130.0,8.2,6.0,8.35,0.0,Indore Airport,Harda Station
94,Sehore,Madhya Pradesh,Ganesh Chaturthi,"Dal Bafla, Bhutte ki Kees",Oct-Mar,"Ganesh Mandir, Hanuman Phatak, Siddheshwar Temple","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Bhopal Airport,Sehore Station
95,Chhindwara,Madhya Pradesh,Pola Festival,"Dal Bafla, Mahua Drink",Oct-Mar,"Patalkot Valley, Tamia Hills, Tribal Museum","Tribal, Nature",0.0,8.2,6.0,7.6,0.0,Nagpur Airport,Chhindwara Station
96,Narsinghpur,Madhya Pradesh,Narmada Jayanti,"Pitha, Dal Bafla",Oct-Mar,"Narmada Mandir, Bramhan Ghat, Jhoteshwar Temple","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Jabalpur Airport,Narsinghpur Station
97,Bhuj,Gujarat,Rann Utsav,"Dabeli, Kutchi Dhokla",Nov-Feb,"White Rann, Aina Mahal, Kutch Museum","Cultural, Desert",130.0,8.2,6.0,8.35,0.0,Bhuj Airport,Bhuj Station
98,Gandhinagar,Gujarat,Navratri,"Fafda-Jalebi, Undhiyu",Oct-Mar,"Akshardham Temple, Indroda Park, Adalaj Stepwell","Spiritual, Historical",82.5,8.2,6.0,8.25,0.0,Ahmedabad Airport,Gandhinagar Station
99,Porbandar,Gujarat,Janmashtami,"Sev Usal, Dhokla",Oct-Mar,"Kirti Mandir, Sudama Temple, Chowpatty Beach","Historical, Coastal",130.0,8.2,6.0,8.35,0.0,Porbandar Airport,Porbandar Station
100,Bhavnagar,Gujarat,Mahashivratri,"Locho, Fafda-Jalebi",Oct-Mar,"Takhteshwar Temple, Victoria Park, Nishkalank Mahadev","Spiritual, Nature",130.0,8.2,6.0,8.35,0.0,Bhavnagar Airport,Bhavnagar Station
101,Dwarka,Gujarat,Janmashtami,"Khichdi, Thepla",Oct-Mar,"Dwarkadhish Temple, Rukmini Temple, Bet Dwarka","Spiritual, Coastal",130.0,8.2,6.0,8.35,0.0,Jamnagar Airport,Dwarka Station
102,Surendranagar,Gujarat,Makar Sankranti,"Ganthiya, Bhakri",Oct-Mar,"Wadhwan, Trineteshwar Temple, Chotila Temple","Spiritual, Cultural",0.0,8.2,6.0,8.7,0.0,Rajkot Airport,Surendranagar Station
103,Narmada,Gujarat,Diwali,"Undhiyu, Jalebi",Oct-Mar,"Statue of Unity, Sardar Sarovar Dam, Poicha Temple","Monumental, Nature",130.0,8.2,6.0,8.35,0.0,Vadodara Airport,Bharuch Station
104,Junagadh,Gujarat,Maha Shivratri,"Khaja, Fafda",Oct-Mar,"Girnar, Uparkot Fort, Ashoka Rock Edicts","Historical, Spiritual",130.0,8.2,6.0,8.35,0.0,Rajkot Airport,Junagadh Station
